mandarin_name,english_name,address,cuisine_type,price_level,opening_hours,dine_in,review_1,review_2,review_3,review_4,review_5
越南大食館,Vietnamese Food House,"No. 86, Baoyi Rd, Wenshan District, Taipei City, Taiwan 116","vietnamese, asian","cheap, budget-friendly, $100-$200",Monday: Closed | Tuesday: 9:30 AM – 8:00 PM | Wednesday: 9:30 AM – 8:00 PM | Thursday: 9:30 AM – 8:00 PM | Friday: 9:30 AM – 8:00 PM | Saturday: 9:30 AM – 8:00 PM | Sunday: 9:30 AM – 8:00 PM,has dine-in seating,"Pretty authentic Vietnamese food in Taipei! The Vietnamese pancakes and bun cha are our absolute favorites. The atmosphere could use a little help — would be even nicer if they tidied up a bit — but overall, still a tasty spot worth trying.","Not very authentic Vietnamese cuisine. We ordered lemongrass chicken rice (香茅雞腿飯), but there wasn't even a hint of lemongrass, and the sauce seemed to be missing the essential ingredients that define this dish. We queried this with the owner, but they insisted that there had been no mistake with the ordering (the dish was how they intended it to be). Another curry dish we ordered seemed to be flavourless. Vegetables advertised to be prepared with fish sauce 魚露 and fish paste seemed to have neither added, and were overcooked to the point of being relatively flavourless (unless one counts oil as a flavour). We couldn't fault the price or the portion size, and left the restaurant feeling full, but the overall feeling was a long way away from traditional Vietnamese cooking.","Pho was ok, I had seafood version. Just found only 1 shrimp in it. Felt like I am eating only the pho noodles and the soup. They can do something in adding some real meat in Their pho.","A little greasy spoon you wouldn't think to walk into, but cheap, delicious, and worth it if you do. Remember to ask for a Vietnamese coffee. It's not on the menu, but they'll sort you out with one all the same.","Vietnamese sandwiches are pretty good, even if it's nothing like the real thing. Pho isn't too bad either. Quite reasonably priced."
蛋蛋的幸福 蔬食料理,Dan Dan’s Happiness Vegetarian Restaurant,"No. 25, Section 2, Zhinan Rd, Wenshan District, Taipei City, Taiwan 116",vegetarian,"cheap, budget-friendly, $100-$200",Monday: 11:00 AM – 6:00 PM | Tuesday: 11:00 AM – 6:00 PM | Wednesday: 11:00 AM – 6:00 PM | Thursday: 11:00 AM – 6:00 PM | Friday: 11:00 AM – 6:00 PM | Saturday: Closed | Sunday: Closed,has dine-in seating,"We ordered rice with cheese and black coffee. The food is great, beyond average, the volume of vegetables and it’s taste with rice and cheese could fit its price (90-140). But, maybe the price is a bit higher for average citizens in Taipei. Then the drinks could balance it as I think is 10-20 lower than the peers.
The space is very limited but atmosphere is good with light music and the boss is very nice though quiet.
Will recommend this restaurant with score 4.","If you're looking for vegetarian food, this is the perfect place! It's a small cafe in a side street near Muzha market but totally worth a visit.
The owners are very friendly people and go out of their way to make you feel comfortable and happy. They always put a smile on my face :)
The cafe is also not too far away from NCCU campus, so it's easy to go for a nice lunch in-between classes.
If you don't speak Chinese, ask them for a English menu which they will kindly provide for you.","Super high quality ingredients and real cheese. The price is totally justified because they really don't skimp on the cheese, vegetables, and tofu. Definitely not one of those places with 99% noodles/rice and 1% good food. Extremely filling.
Highly recommend, try the 咖哩蓋飯，you won't regret it.","Best veggie place around NCCU campus for sure. Mixing food from different horizons while keeping high quality ingredients and cooking quality, served by a lovely staff. Only thing to mind might be the price of at least 150NTD for a dish.","Delicious vegetarian cafe with good quality ingredients and friendly owners! Both the curry fried rice and white curry were delicious! Plenty of fresh vegetables, tofu and nuts. Would like to come back to try the sandwiches next time."
Go! Cafe 早午餐,Go! Cafe ,"No. 34-1, Section 1, Xinguang Rd, Wenshan District, Taipei City, Taiwan 116","breakfast, brunch","cheap, budget-friendly, $100-$200",Monday: Closed | Tuesday: 7:30 AM – 3:30 PM | Wednesday: 7:30 AM – 3:30 PM | Thursday: 7:30 AM – 3:30 PM | Friday: 7:30 AM – 3:30 PM | Saturday: 7:30 AM – 3:30 PM | Sunday: 7:30 AM – 3:30 PM,has dine-in seating,"2022.12.02
▶️Quality: the salad was fresh with enough dressing (many brunch restaurants tend to use as few as possible)
The potato was sweet and well steamed.
The mashed potato was normal.
The omelette was surprisingly good as there were mozzarella and corns wrapped inside!
Unlike other similar brunch restaurants, the sweetness and ice are adjustable for your beverage here!

▶️Price: $95 for veggie set. Inexpensive based on how much work it requires to make such good meal.

▶️Environment: comfy, clean and bright with AC on.

▶️Service: fast and friendly, three staffs at the counter checking the situations.

▶️Line Pay available.","Wrap is seldom seen in Taiwan breakfast shop nearby nccu, the taste is not bad too","love this place!
Fast and friendly service,food is delicious!",Just a generic student breakfast and lunch place. It is not expensive: you can get a meal for 80-130 NTD dollars. The service is fast even when the restaurant is crowded. But unfortunekty  the quality of the food is not hight at all. They also serve teas which are so sweet it is impossible to drink them.,"I unexpectedly found a delicious breakfast shop near National Chengchi University. The restaurant is clean and well-maintained, and the modern interior design is exactly the style I like.
Most importantly, the owner and staff were very warm, friendly, and polite. It really made my day a happy one 😄"
TDH 貓茶町下午茶,TDH Mao Cha Ting Afternoon Tea,"No. 117, Baoyi Rd, Wenshan District, Taipei City, Taiwan 11650","dessert, cafe","mid-range, moderate prices, $200-$400",Monday: 10:30 AM – 7:30 PM | Tuesday: 10:30 AM – 7:30 PM | Wednesday: 10:30 AM – 7:30 PM | Thursday: 10:30 AM – 7:30 PM | Friday: 10:30 AM – 7:30 PM | Saturday: 10:30 AM – 7:30 PM | Sunday: 10:30 AM – 7:30 PM,has dine-in seating,"I was expecting to dine in as the name of this “restaurant “ was “Tea Time” but turned out it was a dessert shop only for taking out.

The staff was friendly and straightforward and gave me the exact advice I needed. Good service!

The mochi was tasty and full of tea flavor so I came here to buy more after receiving the gift 🤣

There are so many tea related products to try… gonna come again next time!",Tea and desserts that are created in perfect harmony. Definitely not too sweet. The tea flavors are very strong but not bitter. The chocolate souffle is decadent and creamy. The ice cream is good too. Well done! It's a shame anyone complains about the price.,Prob the best dessert place in Wenshan Dist.,"This is Muzha's signatory tea flavored dessert store. They provide wide range of desserts including chocolate, Swiss roll, cheesecake, puffs, mochi, soufflé, and ice cream. Each kind has several tea flavors to select from. Their desserts are very enjoyable, but the indoor sitting is not very well-organised. I usually do takeaways.","Jogging through this road everyday, I though it was a tea shop or cafe, turns out that it’s a dessert shop, great tea flavor dessert, will visit here more often."
Mabo Poke 夏威夷沙拉拌飯,Mabo Poke,"No. 64, Section 2, Zhinan Rd, Wenshan District, Taipei City, Taiwan 116",hawaiian,"cheap, budget-friendly, $100-$200",Monday: 11:00 AM – 8:00 PM | Tuesday: 11:00 AM – 8:00 PM | Wednesday: 11:00 AM – 8:00 PM | Thursday: 11:00 AM – 8:00 PM | Friday: 11:00 AM – 8:00 PM | Saturday: 11:00 AM – 7:30 PM | Sunday: 11:00 AM – 7:30 PM,has dine-in seating,"The initial impression of the restaurant was good, with generous portions. However, recently when I ordered an extra serving of salmon, it looked almost the same as the original serving, so it really wasn't worth the extra cost.","This is absolutely outrageous!!!

How could someone find a clothing tag in their food...? 🤢🤢🤢 I'll never buy from here again...",I've never had such awful buckwheat noodles before. It was completely mushy. Each ingredient tasted completely separate. Absolutely terrible.,,
阿義師牛肉麵（政大店）,Master Ah-Yi Beef Noodles (Zhengda Branch),"No. 219, Section 2, Zhinan Rd, Wenshan District, Taipei City, Taiwan 11651","taiwanese, asian, chinese","cheap, budget-friendly, $100-$200","Monday: Closed | Tuesday: 11:00 AM – 3:00 PM, 5:00 – 8:00 PM | Wednesday: 11:00 AM – 3:00 PM, 5:00 – 8:00 PM | Thursday: 11:00 AM – 3:00 PM, 5:00 – 8:00 PM | Friday: 11:00 AM – 3:00 PM, 5:00 – 8:00 PM | Saturday: 11:00 AM – 3:00 PM, 5:00 – 8:00 PM | Sunday: 11:00 AM – 3:00 PM, 5:00 – 8:00 PM",has dine-in seating,"The beef noodles here are delicious. The meat is very tender, less oily and has more vegetables than other places. The portion is also big. 180 dollars comes with a free 500ml cold brew tea.","This is a lovely establishment! I would highly recommend. The service is excellent, food delicious, and atmosphere clean and bright. The owner’s daughter is a joy; it’s clear she loves her job and is serious about customer service. Try their delicious freshly made waffles with ice cream! The ice cream tastes just like classic American ice cream, which is a treat in Taiwan. The waffles are warm, fresh, and delicious! Stop by to indulge in a yummy and unique treat, and you’ll be sure to keep coming back","It's a very specialized restaurant with only one main course, the seafood soup. You can choose to add rice or noodles. The seafood soup is very delicious and warming. It's also topped with fried spices so there's a bit of a crunch. They also have a special going on right now that you can participate in to get a discount of NT 30.

Note: The hours on Google maps is not entirely accurate, so it's best to send them a message on Facebook or call to make sure they're open.",Was so good I forgot to take the before picture.,Good taste !
里克德義廚房,Lecker Cooking House,"No. 22-1, Section 1, Xinguang Rd, Wenshan District, Taipei City, Taiwan 116","western, italien","mid-range, moderate prices, $200-$400","Monday: Closed | Tuesday: 11:30 AM – 2:30 PM, 5:00 – 8:30 PM | Wednesday: 11:30 AM – 2:30 PM, 5:00 – 8:30 PM | Thursday: 11:30 AM – 2:30 PM, 5:00 – 8:30 PM | Friday: 11:30 AM – 2:30 PM, 5:00 – 8:30 PM | Saturday: 11:30 AM – 2:30 PM, 5:00 – 8:30 PM | Sunday: Closed",has dine-in seating,"It has been one of my favorite restaurants around National Chengchi University. The restaurant is cozy and well decorated in European style, always welcoming gathering of family or friends with warm lights and delicious food

I don’t think I can make a very specific recommendation because you won’t be disappointed by anything on the menu. But I do enjoy every dining experience there (mostly I would go with the spinach risotto or the classic spaghetti bolognese), no matter it was a casual lunch or a reserved dinner set at the Christmas Eve

You will be amazed by the taste, generous portion and the price. Recommend to order a main dish with the dessert plus soup (or a beverage) set, you will walk out with content","Fantastic risotto of large portion. Set meal of great value as well, the soup and homemade dessert are wonderful. Shop adorned with nice little ornaments which the owner picked when travelling abroad.",Family style restaurant frequent by the local student population. Average gastronomical fare but very good value for money. Desserts considered quite good for the cheap price.,At the basement now..perfect warm place on a freezing day,Great little restaurant with decent quality and fair price
徙巷小餐酒x徙巷早午餐,The Who Bistro,"No. 12, Lane 49, Section 3, Muzha Rd, Wenshan District, Taipei City, Taiwan 116","bistro, brunch, western","mid-range, moderate prices, $200-$400","Monday: 11:00 AM – 2:00 PM, 5:00 PM – 12:30 AM | Tuesday: 11:00 AM – 2:00 PM, 5:00 PM – 12:30 AM | Wednesday: 11:00 AM – 2:00 PM, 5:00 PM – 12:30 AM | Thursday: 11:00 AM – 2:00 PM, 5:00 PM – 12:30 AM | Friday: 11:00 AM – 2:00 PM, 5:00 PM – 1:30 AM | Saturday: 11:00 AM – 2:00 PM, 5:00 PM – 1:30 AM | Sunday: 11:00 AM – 2:00 PM, 5:00 PM – 12:30 AM",has dine-in seating,"Every dish is absolutely delicious 😋
The pasta and risotto are good and don't forget to try the cheese fries. They are delicious potato wedges!","This restaurant, tucked away in a quiet alley in Taipei's Muzha district, is a truly cozy eatery. They offer dishes ranging from 200 to 500 NT, including Italian pasta, Wellington steak, soups, and salads. Plus, there's a talented mixologist.
What sets this place apart is the owner's personal touch – they treat you like a friend, making the dining experience warm and inviting. It's like discovering a hidden oasis where you can enjoy great food and a welcoming atmosphere.","Good little place, it was surprisingly busy even on a weekday night. We only wanted to have drinks and nibbles - actually didn’t even realise that it was a restaurant not a bar from the Google maps info. Anyway, they have a limited drink menu, especially not very many beers and basic cocktails - no English menu, so translation was a bit of a struggle. The staff members were lovely, all young people. Huge plus is that you can pay with a bank card.",Nice restaurant but didn’t leave any specials dishes or wine.,"Nice little restaurant /bar tucked away in the alleyways near Muzha Traditional Market.

The food is quite decent, have yet to try their drinks, but the mixer is friendly.

A little bit on the pricey side, but worth it."
麥當勞-台北木柵餐廳,McDonald's Taipei Muzha,"1F, No. 57, Section 3, Muzha Rd, Wenshan District, Taipei City, Taiwan 116","fast food, western","cheap, budget-friendly, $100-$200",Monday: 6:00 AM – 12:00 AM | Tuesday: 6:00 AM – 12:00 AM | Wednesday: 6:00 AM – 12:00 AM | Thursday: 6:00 AM – 12:00 AM | Friday: 6:00 AM – 12:00 AM | Saturday: 6:00 AM – 12:00 AM | Sunday: 6:00 AM – 12:00 AM,has dine-in seating,"I enjoyed it. I mean it's a way for us Americans to cure our homesickness for a bit. But really what I enjoyed was the manager. She took care of her associates, while the other manager cleaned a lower shelf. I enjoy seeing how management take care of their team.",This McDonald’s always have fresh fries and the staffs are elders which are good with service. I always go to this McDonald’s even tho I live a bit further away.,"Slow service, incompetent staff. When I went down to take my meal they informed me the fries I had ordered were not available yet and I had to wait another half hour.",I love the sundae w/ a sesame first time i taste here in taiwan hope when i go back phil. They offer that also.,"Staff here is pretty impatient, and the surrounding is dirty. One of the worst McDonald I’ve ever been to"
Warong Kita 珍妹麵店,Warong Kita ,"1F, No.3, Ln.119, Section 2, Zhinan Rd, Wenshan District, Taipei City, Taiwan, 116",asian,"cheap, budget-friendly, $100-$200","Monday: 11:00 AM – 2:00 PM, 4:30 – 8:00 PM | Tuesday: 11:00 AM – 2:00 PM, 4:30 – 8:00 PM | Wednesday: 11:00 AM – 2:00 PM, 4:30 – 8:00 PM | Thursday: 11:00 AM – 2:00 PM, 4:30 – 8:00 PM | Friday: 11:00 AM – 2:00 PM, 4:30 – 8:00 PM | Saturday: 11:30 AM – 2:00 PM, 5:00 – 8:00 PM | Sunday: Closed",has dine-in seating,"Their dishes are one of the authentic taste of Indonesia, you should try! One of my favourite dish is ""Ayam Cabe"", ""Mie Ayam"" and ""Nasi Pecel"". But I think Nasi Pecel is no longer available 🥲. I actually have my own menu in this restaurant, well... it's based on the menu they have, I just ask the lady to serve it differently for me. DM me if you want to know more and lets have lunch together sometimes 😁","I come here exclusively for the fried chicken and rice. It is absolutely delicious. The owners are extremely nice. One time it was raining extremely hard, but the employee offered me an umbrella. That was extremely kind, thank you!

(Can you bring back the Bubu and Dudu merch on the front desk? I miss it a lot.)","Food tastes nice, and workers are friendly.","I've tried soto ayam, opor ayam and Rendang sapi, they're all very good. Rendang sapi is my favourite, I love the strong flavour of herbs, garlic and onion.",Affordable restaurant with yummy yummy foods
One碗,One,"No. 40, Section 2, Zhinan Rd, Wenshan District, Taipei City, Taiwan 116",hawaiian,"cheap, budget-friendly, $100-$200","Monday: 11:00 AM – 2:00 PM, 4:30 – 7:00 PM | Tuesday: 11:00 AM – 2:00 PM, 4:30 – 7:00 PM | Wednesday: closed | Thursday: 11:00 AM – 2:00 PM, 4:30 – 7:00 PM | Friday: 11:00 AM – 2:00 PM, 4:30 – 7:00 PM | Saturday: Closed | Sunday: Closed","takeout only, no dine-in","Looks like a very hearty stall, cheap price, decent quality of food, always queue every time I passed by!","The mango salad dressing is really unique, and the owner is super friendly. The only downside is that the service is a bit slow—I lined up right when they opened at 11:06 and had to wait until 12:10.","The owner is super nice! He even gave us free drinks and meat. Even though the wait was really long, I’m definitely coming back! 😋",The shop assistants were patient.,"Excellent value for money! The owner was also very friendly! It was a little faster than the first week, but I still hope it can be even faster 😖 It takes about three minutes per person!

Hopefully, in the future, people can pass the menu to the owner while queuing to choose their food, and then just hand the order slip to the owner when it's their turn. That might speed things up a bit. I often saw people peeking out to see the menu while queuing."
覓糖 Mi Tang 文山政大店 ( 冰 | 茶 | 海鹽芝士 | 雪花冰 | 仙草凍 |美食 | 下午茶 | 點心 | 飲料 | 甜點 | 推薦 | 人氣 | 貓空 | 動物園),Mi Tang,"1F, No.62, Zhinan Rd, Section 2, Wenshan District, Taipei City, Taiwan, 116","ice cream shop, taiwanese dessert","cheap, budget-friendly, under $100",Monday: 12:00 – 10:30 PM | Tuesday: closed | Wednesday: 12:00 – 10:30 PM | Thursday: 12:00 – 10:30 PM | Friday: 12:00 – 10:30 PM | Saturday: 11:00 AM – 10:00 PM | Sunday: 11:00 AM – 10:00 PM,has dine-in seating,I’m attracted by this pudding. It looks quite cute and the chewy potato is fleshy. I have tried some other dishes on the menu 🌟Very satisfied 😇😇🤌,7 color jelly is really delicious and looks great in pictures. All the mochi is extra bouncy / QQ! Can't wait to try it again,"Definitely recommend this dessert shop. Dessert is good, look beautiful, and price is reasonable. Good place to enjoy sweets and talk.",Wonderful.💎,"A bowl of grass jelly in winter is such bliss! It warms both my stomach and my heart. I chose three toppings: taro paste, taro balls, and red bean. The brown sugar rice cake was also chewy and tender—a natural flavor. The rice cake itself has a light, refreshing aroma and isn't too sweet. You can add brown sugar and soybean powder as desired. The dining environment was clean, comfortable, and bright. I'd definitely come back next time! The summer shaved ice looks amazing too."
麵匡匡拉麵食堂 木柵保儀店,MKK Ramen Studio,"No. 73, Baoyi Rd, Wenshan District, Taipei City, Taiwan 116","ramen, japanese, asian","mid-range, moderate prices, $150-$300","Monday: 11:00 AM – 2:30 PM, 5:00 – 8:30 PM | Tuesday: 11:00 AM – 2:30 PM, 5:00 – 8:30 PM | Wednesday: 11:00 AM – 2:30 PM, 5:00 – 8:30 PM | Thursday: 11:00 AM – 2:30 PM, 5:00 – 8:30 PM | Friday: 11:00 AM – 2:30 PM, 5:00 – 8:30 PM | Saturday: 11:00 AM – 2:30 PM, 5:00 – 8:30 PM | Sunday: 11:00 AM – 2:30 PM, 5:00 – 8:30 PM",has dine-in seating,"Visited: 2024/06/14 (Fri)
Ordered:
- 暖呼呼叉燒鷄白湯拉麵(Piping Hot Chashu Chicken Paitan Ramen) — 160 NTD
- 豬鷄繁盛(Deluxe Pork & Chicken Topping Combo) - 60 NTD

Wait time: 0 min (1P, weekday, evening)

Positive: Clean and cheap. Japanese shichimi powder is provided.

Negative: Quite watery and tasteless, just exactly how Taiwanese people like it.

Good option if you just want to eat budget ramen and there is no other decent ramen nearby.

Final Score: 5/10","I originally just wanted to come in for a bowl of ramen to warm my stomach, but this restaurant's menu is cursed! It ruined our diet, sorry wallet! To pretend we were eating a balanced diet, we ordered grilled zucchini, baby corn, and asparagus, plus shredded chicken crisps. Every dish was delicious, and the whole dining experience was fantastic!","This time, I went to Mian Kuang Kuang Ramen and chose their signature tonkotsu ramen. Overall, the ramen here is quite refreshing, unlike the rich and salty traditional Japanese tonkotsu ramen, making it suitable for those who like broth.

🍜 Ramen Texture
I chose the thick noodles this time, but they were a bit firm, perhaps because the restaurant prefers a chewier texture. Next time, I'll choose a softer texture, which would be more suitable. The broth is a refreshing tonkotsu soup, not greasy, which suits Taiwanese tastes. However, those accustomed to the richer Japanese tonkotsu soup might find it a little bland.

🥩 Toppings and Side Dishes
The char siu pork was good, with some fat but not too greasy, and the meat was tender and flavorful. The signature karaage chicken was crispy on the outside and tender on the inside, fried just right without being greasy. The soft-boiled egg was also delicious, with the yolk cooked to perfection, rich and slightly runny. What's particularly special are the winter melon and baby corn; these two side dishes are very refreshing and perfectly complement the ramen, cutting through the richness – a thoughtful combination.

💡 Summary and Impressions: Men Kuang Kuang's tonkotsu ramen has a lighter, more refreshing style, suitable for those who like broth but don't like overly salty flavors. The firmness of the noodles could be adjusted, but the side dishes and fried items are quite good. Overall, it's a ramen shop worth trying. If I visit again, I'll try different noodle firmness to see if it suits my taste better!","Aside from beef noodle shops, this newly opened Mian Kuang Kuang is probably the most expensive noodle shop in Muzha.

However, it's worth the price.

While the ambiance isn't like Ichiran Ramen in Japan, the customization options are quite similar. Besides the thickness, portion size, and firmness of the noodles, there are various toppings to choose from, including whether to add scallions and garlic. The shop also offers free lemon water and chicken broth for customers to add themselves.

For my first time, I ordered the tonkotsu ramen, choosing the thin noodles recommended by the shop. The firmness and toppings were normal, without scallions. The tonkotsu broth looked rich, but it was surprisingly refreshing and not too salty—easy to drink the whole bowl. The medium-firm thin noodles were chewy and absorbed the broth well. The chashu pork, although only two slices and quite thin, was still tasty and not too greasy. The only slightly unusual thing was the vegetables: a few slices of dried bamboo shoots, a typical ramen accompaniment, but the baby corn and broccoli, which are unlikely to be cooked too soft, had a slightly firm texture that didn't quite balance the overall flavor of the bowl. However, the noodles were quite delicious overall.

The shop was very clean, and the staff were very polite and attentive. Although the space wasn't large, the seating was fairly spacious and comfortable.

Overall, a bowl of ramen priced between 135 and 250 yuan is indeed on the expensive side in Muzha. But today's Muzha is no longer the low-end area traditionally associated with military personnel and government employees. New high-rise buildings starting at over 30 million yuan are commonplace, and many residents drive imported luxury cars. However, the quality of food in Muzha hasn't kept pace with the improvement in residents' economic capabilities.

Therefore, a modern and refined noodle shop like Mian Kuang Kuang, even in its trial operation phase, seems to have a lot of customers, indicating that Muzha residents are willing to accept mid-to-high-end dining options. Other mid-to-high-end chain restaurants should follow suit and open branches in Muzha.","Overall, it was quite delicious!

Today I ordered tonkotsu ramen, milk ramen, and mentaiko (spicy pork) rice bowl; all were tasty. The restaurant has limited seating, but the small rooms are cozy."
韓大佬,Han Da Lao,"No. 27, Section 1, Xinguang Rd, Wenshan District, Taipei City, Taiwan 116","korean, asian","mid-range, moderate prices, $200-$400","Monday: Closed | Tuesday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM | Wednesday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM | Thursday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM | Friday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM | Saturday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM | Sunday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM",has dine-in seating,"The taste is not bad but not the best, I would say average and enjoyable. I enjoyed the kimchi soup with seafood the most. The setting of the restaurant is good for gathering with friends. The rice and soup is refillable, however the side dish cannot be refilled. You need to give 5 stars review for getting another side dish.","The side dishes are for two and you can’t ask for a refill.

The seafood pot is tasteless. I don’t think they even added salt. Bibimbap is ok, but not good enough.

That seafood pancake actually tastes better than it looks, but by a very slim margin.

It’s not a good experience.","I think the recommendation here is created by staff. When i looked up the best korean ones here, this one has the highest scores. The special one i get upset because the taste here is so bad. Its not Korean's, also not Taiwan's. It's like a lot of asian countries are combined together.

Moreover, the best thing when u eat Korean food is KIMCHI, but they didn't put anything inside the hot pot..... What does it mean? And if u wanna eat Kimchi u need to pay more 60nt for it. Never go back.","The taste was extremely delightful & I highly recommend visitors that have an interest for korean cuisine to come here!
The cheesy pancake it the star of the restaurant!
Thanks!🍱","amazing food quality, very highly recommend"
滿豐牛肉麵,Man Feng Beef Noodle Restaurant,"No. 2, Lane 102, Section 3, Muzha Rd, Wenshan District, Taipei City, Taiwan 116","taiwanese, asian, chinese","cheap, budget-friendly, $100-$200","Monday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM | Tuesday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM | Wednesday: Closed | Thursday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM | Friday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM | Saturday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM | Sunday: 11:00 AM – 3:00 PM",has dine-in seating,"Great hearty meal with shop keepers that are not profit driven! I was alone and ordered a large (130TDW). I was asked if it was my first time (yes) and advised by the server to get the small instead (110TWD), because their small is already very full of meat and noodles :) glad I took their advice",Great food and friendly service. I will definitely be coming back!,Probably one of the best beef noodle soups in Taipei. Tastes better than the famous Liu Shandong.,Our favorite restaurant for beef noodle.  Very reasonable price for such delicious food!! Highly recommended,"For me the best meal of my holiday, friendly people also."
浪速食鋪,Naniwa,"Next to No.16, Lane 119, Section 2, Zhinan Rd, Wenshan District, Taipei City, Taiwan, 116","japanese, asian","mid-range, moderate prices, $200-$400",Monday: 11:00 AM – 2:00 PM | Tuesday: 11:00 AM – 2:00 PM | Wednesday: 11:00 AM – 2:00 PM | Thursday: 11:00 AM – 2:00 PM | Friday: 11:00 AM – 2:00 PM | Saturday: 11:00 AM – 2:00 PM | Sunday: Closed,has dine-in seating,"Cute little Japanese curry shop. Curry and udon are both really good. Service is good! They only accept cash, though.","I came here two times when I visited for two weeks. It was so delicious and comforting. The seating is limited so make sure to go early. Each time I struggled to finish my food because it was such a large portion, but it was too delicious so I finished it anyways.","Yesterday, I went to take an exam at National Chengchi University and my friend and I saw this cute shop and went in! The atmosphere was warm and comfortable. The curry udon noodles were very rich, the noodles were springy, and the curry omelet was super delicious! The texture was smooth, and the egg was cooked to perfection. The fried pork cutlet and fried chicken were both crispy, tender, and juicy—truly delicious! Also, the onion and mushroom soup that came with the set meal was very flavorful and sweet! 🤤

When I was leaving, I wanted to tidy up the table, but I knocked over a glass and it broke. I'm so sorry to the owner! 😭 The owner is really kind; he kept asking if I had cut myself and told me to leave it there and he would take care of it. I'm so sorry for causing this commotion when there were so many customers.

If I'm in the area again, I'll definitely go back!! And I won't break a glass again! 🥲","First time here! I came to check it out because all the reviews were raving about it, and it did not disappoint! It’s seriously so good—the fried chicken and curry sauce were both mind-blowing! The owner is super handsome, and they were even playing TWICE's songs. I practically wanted to stand up and dance while eating! 💃✨","📍Omelette Pork Cutlet Curry Rice

The curry has a refreshing, fruity flavor, and the pork cutlet is fried perfectly, remaining crispy even after sitting for a while. The accompanying chili sauce has a strong aftertaste.

The space is small (but comfortable), with limited seating; expect a wait during the lunch rush."
麥當勞-台北指南餐廳,McDonald's Taipei Zhinan (National Chenchi University),"No. 67, Section 2, Zhinan Rd, Wenshan District, Taipei City, Taiwan 116","fast food, western","cheap, budget-friendly, $100-$200",Monday: 6:00 AM – 12:00 AM | Tuesday: 6:00 AM – 12:00 AM | Wednesday: 6:00 AM – 12:00 AM | Thursday: 6:00 AM – 12:00 AM | Friday: 6:00 AM – 12:00 AM | Saturday: 6:00 AM – 12:00 AM | Sunday: 6:00 AM – 12:00 AM,"takeout only, no dine-in",This is the best McD I have ever visited outside India. The staff is electric and full of wonderful people. Feels like home.,Was not able to fully rate Atmosphere due to the lack of dine-in option. (They use to have it but shutdown during COVID-19 and didn’t open back up again 🥺),"You are looking at the west gate of the National Chengchi University (NCCU) from the window of the third floor of the McDonald's. The McDonald's is one of the two fast food restaurants on the street. Seats are available in the second and the third floors, but the total for is less than 80. Sometimes people stay here to chat, so it might not be easy to find in-store seats.  Bringing your orders to the NCCU campus might be more practical.","The food is pretty good. Standard McDonald's. The people ate really nice, although it gets full and other customers get impatient.","Friendly staff and fast service. However, they can only do take out… kinda sad."
松町和風小舖,Matsu-machi Japanese Bistro,"No. 60, Section 2, Muxin Rd, Wenshan District, Taipei City, Taiwan 116","japanese, asian","mid-range, moderate prices, $200-$600","Monday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM | Tuesday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM | Wednesday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM | Thursday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM | Friday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM | Saturday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM | Sunday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM",has dine-in seating,"Local Taiwan Japanese food. Fresh ingredients, good service.",The mackerel is a must. Sashimi is ok. The miso soup is good,One of best economical Japanese cousins,Best Japanese restaurant in Muza.,"Delicious food, very quick service and reasonably priced. Often very busy especially during the lunch time but that is a good thing. Ample seating so the wait is not long."
